Shares,Value,Url,Text,Start date,Ownership,Ticker,30_day_return,Ml_target_signal,mask_executive_id,mask_position_id
1113,0.0,,Stock Gift at price 0.00 per share.,2026-02-26,D,AAPL,-0.0737,0,95481cce85519ce87bd5786165efbb5d20b17433537f1f3d6dee60ae33f1ab5d,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,aff7229729c2f8b97f85e6b0ec7841f4e135251f5a4d329420d58915db47377e,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,b6cebf86f3ac06537fed62d476c9875dbf1660fedb782dfde575767aa0812b99,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,94c53e97469084010c800f2f24d371da1aead3085d02871c70fd760038c6c0e9,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1113,,,,2026-01-30,D,AAPL,0.0061,0,95481cce85519ce87bd5786165efbb5d20b17433537f1f3d6dee60ae33f1ab5d,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,86bfa7b88ad75f0088cb029d9bca3056943d137fd4408c1979b7fdfb4a4fbd6d,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,e630dbd951c2baa001f019825344ab4ce021383d082587f1a715fb78540239a7,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1255,,,,2026-01-30,D,AAPL,0.0061,0,18972600f73263c79dc1492e87b8af6c39253f892af3dad4079baceba0c7cf61,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
3750,0.0,,Stock Gift at price 0.00 per share.,2025-11-12,D,AAPL,0.0007,0,2ae56e584c3dffab7b02c7e0ac9e2f0e5fdcb8b42c6ec16217461e797471bad7,ddc6553a3117cff562599196b3f46145f6b65c04853b9af6721ae2a0338e0bff
3752,1017655.0,,Sale at price 271.23 per share.,2025-11-07,D,AAPL,0.0239,0,51e3445274a92f217919bd4bb8b7da7981138043a636de26810edba6ddf13ce1,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
